投入回報的位置（福報）：,內容
命宮,投資在自己身上，你會有人追隨著你，你就是自己的貴人，相信自己才會做出正確的決定，得到回報、好結果、順利成功。你的自信心，會吸引好人好事圍著你，你的人緣越好，越能好好運用人脈，人脈就是錢脈。
兄弟宮,你對自己的兄弟或媽媽付出越多，他們幫助你會越多，甚至會有意外收穫，他們就是你的貴人，聽他們的意見，路會更順更易走。外人不見得對你有幫助，甚至大難臨頭各自飛，所以，別讓兄弟以及媽媽放棄你，等於把貴人趕走，到時候誰也救不了你。無論發生什麼事，都要站對邊，不要從別人口中評定貴人。尤其你對媽媽越孝順，福報自來。
夫妻宮,你越疼愛越對配偶付出，他會越挺你幫你。投資在配偶身上，他會成為你的貴人，多聽配偶的意見，你會越來越順利成功。如果，你與別人一起對抗配偶，最後你會發現自己站錯邊，也不會有好下場，嚴重是自食其果。所以，配偶會是你人生中重要的角色，請好好保護與珍惜。
子女宮,你越投入資源給晚輩，他們會成為你的貴人，也會是你未來的得力助手，在你事業路上一帆風順。常提擕晚輩，多與晚輩交流，你會穫益良多。大方慷慨地獎勵，他們會更用心做事，更能幫助你打江山。
財帛宮,你越研究賺錢，會吸引更多財富。有捨必有得，善用金錢能量，珍惜金錢能量，才會回流更到你身上。運用金錢的力量，讓他幫你做事，解決問題，提升效率，收穫才會翻倍成長。財布施是必然的習慣，捐款捐物資越多，將會兌現到你的事業財運上。
疾厄宮,投資在自己的健康或身體上，例如養生、保健、健身、打扮、變美等等，都會為你帶來更多回報。貴人因你愛惜自己而重視你，生活因你重視自己而回應你。愛自己，愛健康，讓你發光喚醒回報、成功、順利。
遷移宮,你越往外發展越成功順利，出門才會遇好人好事好貴人。出差、出遊、出國、出門，都會讓你碰上好機遇，貴人從中而生，出去才會讓你活力滿滿。多走動，多規劃行程，憑直覺前往去一個地方，成功順利離你不遠矣！
官祿宮,你越投入事業越成就，把時間、心思、精神都放在事業上，貴人會是你的工作夥伴，也會是你的好人脈。不用顧慮到賺錢有多少，你未來的成就比金錢來得豐盛。在事業上只專注往前衝，不分心，所有好人好事好感情都會從中而生。
福德宮,你的心靈越是富足，你越能收穫更多。專注投資在你的身心靈上，所有好貴人好運氣，會因你的身心享受而豐盛。不必顧慮到經濟或事業，因為你身心靈的直覺會帶領你走正確的路上，財富與成就也會隨著你的狀態而增強。
父母宮,你對長輩或父母親付出越多，他們幫助你會越多，甚至會有意外收穫，他們就是你的貴人，多聽他們的意見，學習智慧，得貴人關照，路會更順更易走。尤其對父母親越孝順，福報自來。
田宅宮,增強房地產相關的知識（例如設計、稅務、風水等等），專注在房地產相關的領域，你得到更多靈感，更多回報。財富與成就會在你投入越多越成正比例，有錢就買房，有人問就幫忙，累積福報不會虧待你。風水要學好，懂得運用風水，升官發財會比其他人更有感。
一生拉址的位置（業力）：,內容
命宮,你最糾結的地方就是你自己，常常跟自己過不去，也無法為自己作主。所以，當遇到困難時，會傾向於自我懷疑，變得沒信心、沒自信、更自卑。除了學會放下「我執」，更要找「正確的貴人」指導你、教育你。
兄弟宮,你最糾結的地方就是兄弟或母親，兄弟情深或母子情深都會成為你「成功」的絆腳石。當你覺得有義務照顧他們的時候，往往會選擇犧牲自己的夢想與理想。當你越專注在兄弟/母親身上時，你的付出，都沒辦法得到相對應的回報。除了學會取捨「親情的平衡」，更要把重心專注在「投入回報」的地方。
夫妻宮,你最糾結的地方就是婚姻/伴侶，你越是糾結感情，情關越多，問題越多，情執會成為你「成功」的絆腳石。你會為了婚姻/伴侶，選擇犧牲自己的夢想與理想。無論伴侶是否對你好，你對伴侶的付出，都沒辦法得到相對應的回報。除了學會平衡「感情」，更要把重心專注在「投入回報」的地方。
