緣份,內容
Test1,這是測試
你只是來報恩的姻緣,"在你們的命盤中，你們的緣份很玄殊，比較痛苦的組合，代表你只是來報恩的姻緣。
 一，你愛他，他不愛你。
 二，你完全對他付出，他沒辦法回應你的愛，甚至也傾向於冷漠一些。
 三，你很喜歡他，你心裡的理想對象就是像他這樣的人，所以你也很難放下他。
 四，你對他一見鐘情機率大，或是剛接觸就喜歡他了。"
他只是來報恩的姻緣,"在你們的命盤中，你們的緣份很玄殊，比較痛苦的組合，代表他只是來報恩的姻緣。
 
 一，他比較喜歡你，反而你會思考他是不是你想要的人。
 二，他在感情上會完全地付出，而你則沒辦法回應他的喜歡。
 三，若果，你們分手後，很大機會他放不下你。
 四，他對你一見鐘情，甚至他都以你為先。"
你命中要找的「人」,"老實說，你命途中要找的「人」很大機會是他，不一定會相處良好，但是你必須要面對他這個「愛情課題」，從他身上，你將會得到人生的領悟，不管好壞，他都是與你有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。很多時候上天送給你「正緣」，不見得大家會珍惜，每次的不尊重不包容，都是有在破壞你們之間的緣份！
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「他」化成「考驗」給你上課
 三：你對他的心態傾向於「只在乎曾經擁有，不在乎天長地久」，那就沒必要執著太深（現在硬要抓著他在自己身邊）
 
 建議：認真把你對他的「不滿」或 你們相處的「問題」一個個都整理好，NANA才有辦法針對問題幫你解決。"
他命中要找的「人」,"老實說，他命途中要找的「人」很大機會是你，不一定會相處良好，但是他必須要面對你這個「愛情課題」，從你身上，他將會得到人生的領悟，不管好壞，他都是與你有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「你」化成「考驗」給他上課
 三：他對你的心態傾向於「只在乎曾經擁有，不在乎天長地久」
 
 建議：認真把他對你的「不滿」或 你們相處的「問題」一個個都整理好，NANA才有辦法針對問題幫你解決。"
你們命中要找的「人」,"老實說，你們命途中要找的「人」很大機會是對方，不一定會相處良好，但是你們必須要面對彼此這個「愛情課題」，從對方身上，你們將會得到人生的領悟，不管好壞，你們都是與對方有「緣」，但有沒有「份」去長相廂守就得看你們的福報了。很多時候上天送給你們「正緣」，不見得大家會珍惜，每次的不尊重不包容，都是有在破壞你們之間的緣份！
 
 更簡單的說法就是，你們彼此來到對方的世界裡，是為了讓彼此上一堂愛情課，時機到了，就會完全消失在你的生命裡。
 
 如何不讓他消失在你的世界？就要趁著還沒斷聯的時候，趕快處理「愛情課題」，把情債還光光了，再製造正向緣份，就不會狠心絕心地斷聯。已經斷聯消失了，再求也求不回來，這也是緣盡的表現！
 
 你們之間「有姻緣」但不一定有「福份相伴一輩子」的主因：
 一：多次前世，你們的「問題」變成「情債」還沒解決
 二：有愛情功課，需要透過「彼此」化成「考驗」給你們上課
 三：你們的心態傾向於「只在乎曾經擁有，不在乎天長地久」"
0%沒有緣份,"在你們的命盤中，屬於 有緣無份 的組合 。代表你們不一定是彼此心目中的理想伴侶，所以，你們的關係就停滯在這邊，無法前進更親密的關係，像是走不進彼此的心，或許也只有肉體上的互動。
 
 對於 你們目前的狀況，你更需要釐清 你們之間的情感，要來自於「責任」或「陪伴」或「習慣」，有時候口說的喜歡，也不是真心的喜歡。"
30%少緣份,"在你們的命盤中，屬於 比較少有緣份（差不多30%）的組合。代表你們不一定是彼此心目中的理想伴侶，但是也會有互相欣賞的地方。剛開始接觸時，你們可能對彼此就抱有好感，不見得一見鍾情，但是也會有喜歡對方的可能性。認識好一段時間，可能會發現對方的想法或個性，跟自己想像的格格不入，所以乾脆不要了，錯過了愛情的衝動。
 
 主要分別就是，分手也沒差，因為覺得對方也不像自己心目中的人選，所以分手時，雖然難過，但是如果換到更適合自己的人也好像可以，只是一時之間不習慣沒有對方，或是不想被拋棄。"
30%曖昧,"在你們的命盤中，屬於 比較少有緣份（差不多30%）的組合。代表你們不一定是彼此心目中的理想伴侶，但是也會有互相欣賞的地方。剛開始接觸時，你們可能對彼此就抱有好感，不見得一見鍾情，但是也會有喜歡對方的可能性。認識好一段時間，可能會發現對方的想法或個性，跟自己想像的格格不入，所以乾脆不要了，錯過了愛情的衝動。
 
 主要分別就是，不聯絡也沒差，因為覺得對方也不像自己心目中的人選，所以不聯絡時，雖然難過，但是如果換到更適合自己的人也好像可以，只是一時之間不習慣沒有對方，或是不想被拋棄。
 
 為何他會直接放棄？不想再跟你聯絡？因為，他根本不喜歡你，你也沒辦法滿足他的條件。在他心裡面，他認定你不是他想要的人，所以他會乾脆選擇不聯絡。相處久了，他會覺得，一定會找到比你更好而又喜歡的人，尤其遇上了就會果斷跟你斷聯。因為，你跟他沒有實際的愛跟喜歡。即使復聯了，沒有好好處理，也會很快斷聯。"
50%他喜歡你多一些,在你們的命盤中，屬於 緣份脆弱 的組合（隨時因為變數而一拍兩散）。他會比較喜歡你多一些，尤其是他剛接觸你的時候，他就已經有一見鐘情，或是認識不久就喜歡你，所以他會顯得更投入在感情關係裡。現代愛情觀，希望能夠找一位比較愛自己的人，那他正是如此。他比較喜歡你多一些，剛接觸時就會有比較強烈的感覺，但是你對他比較一般般。
