第一部：必要 開場白,內容
奇門遁甲就是一道保護罩,"磁場就是能量場
 能量越低，磁場就會吸引到意外、被搶男人、生活不順、官司訴訟；
 能量越高，磁場就會吸引到正桃花、疼愛你的人、幸運、順利、幸福。
 
 奇門遁甲就是一道保護罩，破解你天生自帶的凶相後，就像是有一道正能量阻隔了「慘劇」，避開了讓自己後悔的事，才能真正過上平安的生活。
 
 它擁有一生保護你的價值，擋掉了最嚴重的命數，只有發生可承擔的小劫數； 
 它也讓你獲得一生的自由，解脫天命讓你心煩的業力，逃離注定讓你痛苦的遭遇。
 
 以往算命都只告訴你多糟糕，如今奇遁讓你一切重新開始。
 你若繼續胡塗下去，你就只能繼續「被天註定」。"
📍循行漸進的改善運勢方式,"📍循行漸進的改善運勢方式
 1️⃣ 煙供至少9-12場，磁場及思維才穩定
 2️⃣ 每年擋流年磁場的沖擊
 3️⃣ 加強要從家運開始（家宅睡覺=充電=充各種能量）
 4️⃣ 命盤根治"
✅必須破解（擋衰）,🔸命盤凶相：阻礙你的本命能量（必須破解＝擋衰）
🔸命盤凶相：阻礙你的本命能量（必須破解＝擋衰）,內容
破解「傷官」,🔺：破解「傷官」，事業才能有出頭，避免人際麻煩事，化解「情路坎坷」，避免官司意外等不利之事發生。傷官，女以官為夫，傷官就是傷害丈夫/配偶的意思，化解後，不再壓制配偶，配偶也會感到與你在一起是舒服的，不會再想逃避你，你的言詞不再帶有攻擊性，配偶也會比較體諒及包容你，感情會更恩愛甜蜜，少爭執。破解後，感情才會順心如意，不再得到愛情失敗的結局。
命盤有2個傷官,命盤有2個傷官，很嚴重，對感情事非常不利。人生中，各種突發事件發生，而且沒完沒了，難以處理，覺得自己能活過來已經很不錯了。衰事接二連三還不夠，麻煩事常自動主動找上門，關關難過，也只能關關過，硬著頭皮撐過去。所以，你一生會很累，還沒休息夠又再來。精神緊繃，撐不住就會崩潰。
「傷官見官」,🔺：命盤中有最嚴重的凶相「傷官見官」，你的人生容易發生突發意外、血災、受傷等等，在職場上，常被針對及找你麻煩。內心負能量也比較多，心緒不寧。在愛情上，容易因為自己的狀況不佳，而無意間傷害到另一半，最後另一半也受不了，選擇離開。各種突發狀況，讓你意想不到，也會讓你懷疑人生。要注意生命安全，平安渡過為主，再來求好。否則，自己不好，生活也不會好。破解《傷官見官》後，感情開始回到正軌，不再容易分手離婚，更重要的是，自己也會有所改變，從前情緒起伏大，也變得逐漸平穩平靜。所以，人緣及職場也會較舒服，別人對待自己也友善些，不再被刻薄對待。
破解流年「傷官」,🔺：2024年，破解流年走「傷官」，事業才能有出頭，避免人際麻煩事，化解意外事件，化解官司糾紛、減少被針對。走傷官，你容易情緒低落，想法負面，容易悲觀。突如其來的悲傷，內心對話會把自己推到盡頭或谷底，沒自信，懷疑自己，變得迷惘。這一年的心理狀況不理想，不小心就把情緒發洩出來，誤傷家人伴侶，或是得罪朋友同事。情緒起伏大，容易想哭，內心也容易激動，一不小心就顯露出來。傷官，女以官為夫，傷官就是傷害丈夫/配偶的意思，化解後，流年跟配偶感情和好，不再過度重視配偶，看配偶也比較順眼，不再想分手離婚。
破解對象流年「傷官」,🔺：2024年，破解流年走「傷官」，避免官司訴訟、職場針對及麻煩、擋掉流年的磁場沖擊，包括負能量、意外、血災、受傷等等。傷官年，負能量很重，男人走到這一年很容易想要逃避婚姻喊離婚，會寧願跟其他人在一起也不要回家。心情很差很糟糕，腦袋自尋煩惱，做錯決定而自找麻煩。破解後，能擋掉流年傷官所帶來的災禍及煩惱。
破解流年「傷官見官」,🔺：2024年，破解流年「傷官見官」，避免官司訴訟、職場針對及麻煩、擋掉流年的磁場沖擊，包括負能量、意外、血災、受傷等等。官司纏身，一整年都沒辦結案，而且還會惡化。心緒不寧，容易因為自己的狀況不佳，而無意間傷害到另一半，最後另一半也受不了，選擇離開。各種突發狀況，讓你意想不到，也會讓你懷疑人生。今年，要注意生命安全，平安渡過為主，再來求好。否則，自己不好，生活也不會好。
